TICID,SECTOR,RA_OBJ,DEC_OBJ,EQUINOX,PMRA,PMDEC,PMTOTAL,TESSMAG,TEFF,LOGG,MH,RADIUS
141941684,13,95.168977,-75.71702,2000.0,40.2391,-34.5738,53.05217069,10.01299953,5683.0,4.50816011,nan,0.92786998
141944911,13,95.436719,-73.605507,2000.0,-25.7842,0.225296,25.78518427,10.7840004,6030.0,4.49777985,nan,0.98755801
141975044,13,96.009007,-73.584232,2000.0,26.1906,-9.29951,27.7925964,10.92800045,5933.0,4.42976999,nan,1.05091
142052086,13,97.333318,-77.416424,2000.0,32.1,13.6,34.86215713,10.89599991,5617.0,4.37600994,nan,1.07145
143345566,13,293.723685,-42.502468,2000.0,-40.4199,-41.0877,57.63651106,8.85299969,5508.0,4.46181011,nan,0.95708698
143698129,13,285.298792,-43.201172,2000.0,8.52168,-41.103,41.97708469,10.36600018,5931.0,4.50592995,nan,0.96239197
143802579,13,285.762372,-45.079183,2000.0,-7.88,-53.69,54.26518681,10.33899975,5669.0,4.36593008,nan,1.09104002
149040234,13,78.416205,-65.91032,2000.0,-4.644,41.0634,41.32516855,11.1420002,5669.0,4.36593008,nan,1.09104002
149107360,13,80.743916,-60.993815,2000.0,-21.0571,57.9947,61.69916279,10.16899967,5531.0,4.41892004,nan,1.00861001
149347772,13,83.800221,-60.589487,2000.0,7.16126,7.19615,10.15225195,10.47000027,5625.0,4.37444019,nan,1.07446003
149350447,13,83.7049,-64.755553,2000.0,-9.6,4.2,10.47854952,10.84599972,5639.0,4.37171984,nan,1.07973003
149498982,13,85.801597,-62.529332,2000.0,-16.7346,11.5835,20.35250131,11.86900043,5684.0,4.36304998,nan,1.09670997
149499292,13,85.677447,-63.024647,2000.0,-5.2367,25.0679,25.60903429,11.23099995,5509.0,4.39758015,nan,1.03068995
149539058,13,86.021407,-60.262429,2000.0,1.13005,116.314,116.31948938,10.84500027,5645.56005859,4.38723993,-0.104138,1.04461002
149541777,13,86.301551,-64.507579,2000.0,11.674,17.5924,21.11337997,11.05900002,5564.0,4.38647985,nan,1.05150998
149665462,13,87.74073,-64.929898,2000.0,12.2534,61.2889,62.50180057,10.35299969,5969.0,4.43648005,nan,1.04885995
149930009,13,89.69907,-61.395871,2000.0,40.2722,75.5033,85.57218242,9.79800034,5908.0,4.45799017,nan,1.01340997
149930656,13,89.584307,-62.735408,2000.0,-7.02187,-11.0803,13.11791547,10.8920002,5543.45019531,4.46214008,0.00625156,0.956141
149930994,13,89.575739,-63.331718,2000.0,11.1668,12.0502,16.42877787,11.21399975,5663.68994141,4.48697996,0.11374,0.95347399
149989864,13,90.445528,-63.050804,2000.0,1.26618,78.0247,78.03497307,10.25599957,5599.16992188,4.36500978,0.15030199,1.09291005
150165740,13,93.231152,-60.307936,2000.0,-3.82698,45.3663,45.52743076,10.65699959,6024.0,4.56143999,nan,0.91680998
150168739,13,93.458853,-65.087779,2000.0,10.2945,67.9629,68.73814448,10.97900009,6089.0,4.58109999,nan,0.90672702
150272447,13,94.596899,-62.341585,2000.0,-55.9673,57.8713,80.50730422,8.76500034,6095.0,4.58333015,nan,0.90539199
150298573,13,95.063761,-63.578372,2000.0,-4.15332,-9.75756,10.60471801,10.79399967,5945.75,4.49900007,-0.118045,0.95483202
150319903,13,95.623512,-65.031685,2000.0,33.7458,-0.167813,33.74621725,10.34899998,5574.0,4.5041399,nan,0.91947299
150324841,13,95.945939,-64.634026,2000.0,-15.9,22.6,27.6327704,10.76399994,5820.54003906,4.46759987,0.0245751,0.98919898
150359325,13,96.143558,-60.152466,2000.0,224.55,416.905,473.53192239,10.51200008,6073.33007813,3.99895,-1.0165,1.00272
150389142,13,96.393692,-64.868846,2000.0,2.45008,16.8316,17.00898735,10.58899975,5622.99023438,4.46431017,0.186239,0.98144299
150390260,13,96.687908,-65.0259,2000.0,12.7364,57.8691,59.25410213,10.51299953,5501.5,4.57000017,-0.22,0.93857902
150442841,13,97.818955,-62.898959,2000.0,18.639,-23.9941,30.3830406,11.19200039,5799.0,4.50192022,nan,0.948627
158159392,13,281.770854,-49.303489,2000.0,22.0065,-54.4342,58.71429274,8.84200001,5999.0,4.41830015,nan,1.07641995
158209401,13,287.173297,-48.887467,2000.0,-1.0,-14.8,14.83374531,10.02900028,5689.0,4.36210012,nan,1.09861004
160994150,13,276.088697,-50.703409,2000.0,1.1,-29.3,29.32064119,10.55900002,5682.0,4.36344004,nan,1.09596002
160996457,13,276.2189,-51.908402,2000.0,3.24,-105.82,105.86958959,10.63000011,5610.0,4.37737989,nan,1.06882
